epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,398.345,1.07561,1.06062,1.08469,0.58563,0.49124,0.50744,0.37081,1.07065,1.41637,1.06816,0.0007822,0.0007822,0.0007822
53,340.562,1.16504,1.22536,1.11133,0.69086,0.52398,0.52054,0.36308,1.1556,1.3311,1.07259,0.0008284,0.0008284,0.0008284
68,404.74,1.12299,1.11966,1.10589,0.50713,0.53123,0.50966,0.36034,1.04508,1.50088,1.05804,0.0007789,0.0007789,0.0007789
54,346.988,1.14399,1.19026,1.11506,0.52297,0.55205,0.52895,0.37519,1.20146,1.34251,1.09155,0.0008251,0.0008251,0.0008251
69,411.035,1.06016,1.01922,1.06723,0.70153,0.53124,0.5037,0.37626,1.04067,1.36984,1.02253,0.0007756,0.0007756,0.0007756
55,353.283,1.14615,1.16595,1.10828,0.52017,0.59156,0.52752,0.34763,1.20458,1.39842,1.0949,0.0008218,0.0008218,0.0008218
70,417.484,1.09152,1.07647,1.07615,0.67372,0.52817,0.52405,0.36404,1.12964,1.36567,1.0782,0.0007723,0.0007723,0.0007723
56,359.763,1.14893,1.22373,1.1165,0.52207,0.54637,0.51404,0.36113,1.08341,1.45466,1.05002,0.0008185,0.0008185,0.0008185
71,423.798,1.1184,1.07909,1.09743,0.53174,0.49956,0.49163,0.349,1.16073,1.42461,1.08055,0.000769,0.000769,0.000769
57,366.02,1.12326,1.21699,1.10767,0.48188,0.55108,0.47828,0.34218,1.1169,1.40752,1.06417,0.0008152,0.0008152,0.0008152
58,370.754,1.12503,1.14554,1.09552,0.74918,0.48562,0.51036,0.3262,1.22916,1.44669,1.1114,0.0008119,0.0008119,0.0008119
59,375.064,1.10637,1.1118,1.08138,0.57067,0.50735,0.50358,0.36182,1.07124,1.4654,1.05314,0.0008086,0.0008086,0.0008086
60,379.197,1.12965,1.15544,1.12915,0.55982,0.5476,0.52129,0.36799,1.16423,1.37238,1.10083,0.0008053,0.0008053,0.0008053
61,383.414,1.11028,1.14537,1.10588,0.72987,0.53589,0.51224,0.35459,1.12586,1.46351,1.07433,0.000802,0.000802,0.000802
62,387.509,1.10045,1.15635,1.07836,0.67612,0.52792,0.49822,0.37049,1.07105,1.41358,1.06507,0.0007987,0.0007987,0.0007987
63,391.784,1.08038,1.07806,1.09519,0.75147,0.51587,0.51215,0.3608,1.10542,1.44308,1.0549,0.0007954,0.0007954,0.0007954
64,395.734,1.11882,1.1242,1.10122,0.49764,0.5495,0.50269,0.35645,1.12039,1.40883,1.06712,0.0007921,0.0007921,0.0007921
65,399.832,1.07676,1.0461,1.07904,0.50257,0.55308,0.49114,0.36068,1.04032,1.39191,1.03576,0.0007888,0.0007888,0.0007888
66,403.942,1.08676,1.08333,1.0859,0.53194,0.54192,0.49697,0.34789,1.06711,1.42835,1.03232,0.0007855,0.0007855,0.0007855
67,407.839,1.07561,1.06062,1.08469,0.58563,0.49124,0.50744,0.37081,1.07065,1.41637,1.06816,0.0007822,0.0007822,0.0007822
68,411.802,1.12299,1.11966,1.10589,0.50713,0.53123,0.50966,0.36034,1.04508,1.50088,1.05804,0.0007789,0.0007789,0.0007789
69,415.685,1.06016,1.01922,1.06723,0.70153,0.53124,0.5037,0.37626,1.04067,1.36984,1.02253,0.0007756,0.0007756,0.0007756
70,419.698,1.09152,1.07647,1.07615,0.67372,0.52817,0.52405,0.36404,1.12964,1.36567,1.0782,0.0007723,0.0007723,0.0007723
71,423.861,1.1184,1.07909,1.09743,0.53174,0.49956,0.49163,0.349,1.16073,1.42461,1.08055,0.000769,0.000769,0.000769
